word,length,syllable_types,difficulty_score,cluster_density,orthographic_transparency,consonant_clusters,syllable_boundary_ambiguity,meaningfulness_score,morphological_complexity,letter_confusability,ascender_descender_density,spatial_crowding
trpní,5,CCCCV,3.0,0.8,1.1,['trpn'],1,0.6,1.0,0,0.2,10.169498633240918
sných,5,CCVCC,4.0,0.8,1.4300000000000002,"['sn', 'ch']",1,0.6,1.5,2,0.4,14.285714285714286
krá,3,CCV,3.0,0.6666666666666666,1.1,['kr'],0,0.6,1.0,0,0.3333333333333333,10.194341384744389
tůkva,5,CVCCV,2.5,0.6,1.32,"['t', 'kv']",1,0.6,1.0,0,0.2,10.504201680672269
Humo,4,CVCV,2.0,0.5,1.0,"['h', 'm']",1,0.6,1.0,2,0.25,5.612445385133758
tebi,4,CVCV,2.0,0.5,1.0,"['t', 'b']",1,0.6,1.0,0,0.25,8.747202683450883
mecipo,6,CVCVCV,2.5,0.5,1.0,"['m', 'c', 'p']",2,0.6,1.0,3,0.16666666666666666,5.666404874992422
Požeš,5,CVCVC,2.5,0.6,1.2100000000000002,"['p', 'ž', 'š']",1,0.6,1.5,2,0.2,9.070093375593247
meny,4,CVCV,2.0,0.5,1.0,"['m', 'n']",1,0.6,1.0,2,0.25,5.612445385133758
kada,4,CVCV,2.0,0.5,1.0,"['k', 'd']",1,0.6,1.0,0,0.5,14.285714285714286
tasnepře,8,CVCCVCCV,3.5,0.625,1.1,"['t', 'sn', 'př']",2,0.6,1.0,4,0.125,10.930523639293979
bličovasa,9,CCVCVCVCV,3.5,0.5555555555555556,1.1,"['bl', 'č', 'v', 's']",3,0.6,1.0,2,0.2222222222222222,7.720779386421445
muto,4,CVCV,2.0,0.5,1.0,"['m', 't']",1,0.6,1.0,2,0.0,5.333333333333333
dinéje,6,CVCVCV,2.5,0.5,1.1,"['d', 'n', 'j']",2,0.6,1.0,2,0.3333333333333333,8.127136196233101
roč,3,CVC,2.0,0.6666666666666666,1.1,"['r', 'č']",0,0.6,1.0,0,0.0,7.864432245954598
mitulore,8,CVCVCVCV,3.0,0.5,1.0,"['m', 't', 'l', 'r']",3,0.6,1.0,6,0.125,6.050362731275126
Subaj,5,CVCVC,2.5,0.6,1.0,"['s', 'b', 'j']",1,0.6,1.5,0,0.4,8.417508417508419
límal,5,CVCVC,2.5,0.6,1.1,"['l', 'm', 'l']",1,0.6,1.0,2,0.4,5.190866637477169
vůrnice,7,CVCCVCV,3.0,0.5714285714285714,1.32,"['v', 'rn', 'c']",3,0.6,2.0,2,0.0,8.80416293326593
ka,2,CV,1.0,0.5,1.0,['k'],0,0.6,1.5,0,0.5,14.285714285714286
libe,4,CVCV,2.0,0.5,1.0,"['l', 'b']",1,0.6,1.0,2,0.5,8.333333333333334
Šelprí,6,CVCCCV,3.0,0.6666666666666666,1.2100000000000002,"['š', 'lpr']",2,0.6,1.0,0,0.3333333333333333,7.7207793864214445
tadýt,5,CVCVC,2.5,0.6,1.1,"['t', 'd', 't']",1,0.6,1.0,2,0.4,10.169498633240918
a,1,V,1.0,0.0,1.0,[],0,0.6,1.0,0,0.0,14.285714285714286
ruěvin,6,CVVCVC,2.5,0.5,1.6500000000000001,"['r', 'v', 'n']",1,0.6,1.0,2,0.0,8.722611107964063
le,2,CV,1.0,0.5,1.0,['l'],0,0.6,1.0,0,0.5,8.333333333333334
Myja,4,CVCV,2.0,0.5,1.0,"['m', 'j']",1,0.6,1.0,0,0.5,4.952005404599566
lépa,4,CVCV,2.0,0.5,1.1,"['l', 'p']",1,0.6,1.0,0,0.5,8.244590536342239
dodim,5,CVCVC,2.5,0.6,1.0,"['d', 'd', 'm']",1,0.6,1.0,2,0.4,5.3418803418803416
aki,3,VCV,1.5,0.3333333333333333,1.0,['k'],1,0.6,1.0,0,0.3333333333333333,8.127136196233101
toukané,7,CVVCVCV,2.5,0.42857142857142855,1.32,"['t', 'k', 'n']",2,0.6,1.0,2,0.14285714285714285,10.803052451725982
ili,3,VCV,1.5,0.3333333333333333,1.0,['l'],1,0.6,1.0,3,0.3333333333333333,20.0
lédé,4,CVCV,2.0,0.5,1.1,"['l', 'd']",1,0.6,1.0,0,0.5,8.244590536342239
Matako,6,CVCVCV,2.5,0.5,1.0,"['m', 't', 'k']",2,0.6,1.0,0,0.16666666666666666,6.068105891786792
tudom,5,CVCVC,2.5,0.6,1.0,"['t', 'd', 'm']",1,0.6,1.0,2,0.2,5.734652455358005
lehou,5,CVCVV,2.0,0.4,1.2,"['l', 'h']",1,0.6,1.0,2,0.4,8.417508417508419
řepine,6,CVCVCV,2.5,0.5,1.1,"['ř', 'p', 'n']",2,0.6,1.0,4,0.16666666666666666,8.594235253127366
