syllable,row,column,syllable_type,difficulty_score,positional_difficulty,cluster_density,orthographic_transparency,consonant_clusters,letter_confusability,ascender_descender_density,spatial_crowding,neighborhood_density,dyslexia_difficulty
pluh,8,1,CCVC,3.5,2.24,0.75,1.0,"['pl', 'h']",0,0.75,8.244590536342239,0,1.0595
hrom,8,2,CCVC,3.5,2.2848,0.75,1.0,"['hr', 'm']",0,0.25,5.333333333333333,0,1.07294
mlýn,8,3,CCVC,3.5,2.3296,0.75,1.1,"['ml', 'n']",2,0.5,4.952005404599565,0,1.60638
dnes,8,4,CCVC,3.5,2.3744000000000005,0.75,1.0,"['dn', 's']",0,0.25,14.285714285714286,0,1.0998200000000002
plot,8,5,CCVC,3.5,2.4192000000000005,0.75,1.0,"['pl', 't']",0,0.5,8.747202683450883,1,1.1132600000000001
zvuk,8,6,CCVC,3.5,2.4640000000000004,0.75,1.0,"['zv', 'k']",0,0.25,14.285714285714286,0,1.1267
vnuk,8,7,CCVC,3.5,2.5088000000000004,0.75,1.0,"['vn', 'k']",2,0.25,14.285714285714286,0,1.64014
lhář,8,8,CCVC,3.5,2.5536,0.75,1.2100000000000002,"['lh', 'ř']",0,0.5,8.244590536342239,0,1.19558
kmen,8,9,CCVC,3.5,2.5984000000000007,0.75,1.0,"['km', 'n']",2,0.25,5.612445385133758,0,1.6670200000000002
vpád,9,1,CCVC,3.5,2.8000000000000003,0.75,1.1,"['vp', 'd']",2,0.5,14.285714285714286,0,1.7475
stop,9,2,CCVC,3.5,2.8560000000000003,0.75,1.0,"['st', 'p']",0,0.25,10.338229937007968,0,1.2443000000000002
hned,9,3,CCVC,3.5,2.9120000000000004,0.75,1.0,"['hn', 'd']",2,0.5,14.285714285714286,0,1.7611
vkus,9,4,CCVC,3.5,2.9680000000000004,0.75,1.0,"['vk', 's']",0,0.25,14.285714285714286,0,1.2779
chlup,9,5,CCCVC,4.5,3.8880000000000003,0.8,1.3,"['chl', 'p']",0,0.6,8.417508417508419,0,1.6264
zrak,9,6,CCVC,3.5,3.0800000000000005,0.75,1.0,"['zr', 'k']",0,0.25,10.338229937007968,1,1.3115
plat,9,7,CCVC,3.5,3.1360000000000006,0.75,1.0,"['pl', 't']",0,0.5,8.747202683450883,1,1.3283
vrak,9,8,CCVC,3.5,3.192,0.75,1.0,"['vr', 'k']",0,0.25,10.338229937007968,1,1.3451
zvon,9,9,CCVC,3.5,3.2480000000000007,0.75,1.0,"['zv', 'n']",0,0.0,14.285714285714286,0,1.3619
tvrz,10,1,CCCC,3.0,3.0,1.0,1.0,['tvrz'],0,0.0,10.256410256410259,0,1.3499999999999999
skrz,10,2,CCCC,3.0,3.06,1.0,1.0,['skrz'],0,0.25,10.338229937007966,0,1.3679999999999999
smrt,10,3,CCCC,3.0,3.12,1.0,1.0,['smrt'],0,0.0,5.22592801900792,1,1.386
brnk,10,4,CCCC,3.0,3.18,1.0,1.0,['brnk'],0,0.5,10.338229937007968,0,1.404
smrk,10,5,CCCC,3.0,3.24,1.0,1.0,['smrk'],0,0.25,5.333333333333333,1,1.422
blesk,10,6,CCVCC,4.0,4.4,0.8,1.0,"['bl', 'sk']",0,0.6,8.417508417508419,0,1.72
štěrk,10,7,CCVCC,4.0,4.48,0.8,1.8150000000000004,"['št', 'rk']",0,0.2,8.411381104452262,0,1.907
kvést,10,8,CCVCC,4.0,4.56,0.8,1.1,"['kv', 'st']",0,0.2,10.504201680672269,0,1.7879999999999998
bronz,10,9,CCVCC,4.0,4.640000000000001,0.8,1.0,"['br', 'nz']",0,0.2,10.504201680672269,0,1.792
